family,variant,cfg,arm,floor,fold,P,n_fit,fit_seconds,wape,mase,mase_median,mase_series,mase_excluded,mae,rmse,share_y_le_forecast,wape_low,wape_mid,wape_high
xgb,norm,"{""max_depth"": 3, ""min_child_weight"": 5}",all,0.07142857142857142,F4,7,348471,2.6,0.4168066305030375,1.3183657759379537,0.8183864742137027,300,0,3.8203801074190915,7.72128579032955,0.5830555555555555,0.6403168969829671,0.448885947719953,0.38061398887891024
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 5}",all,0.07142857142857142,F4,7,348471,6.7,0.4195826801774533,1.4459585959238672,0.7973334711211644,300,0,3.8458249160598412,7.3881180381642615,0.5680555555555555,0.6392999218762834,0.44283718969880825,0.38656894440165557
lr,raw,{},all,,F4,10,347571,3.0,0.3884308022499771,1.4365792877758625,0.8196632277170688,300,0,4.914297033132627,10.034797813315922,0.49722222222222223,0.5792358246932551,0.4154228415647403,0.35743746718209385
lr,norm,{},all,0.07142857142857142,F4,10,347571,3.0,0.5187400237604971,1.6860808248446213,0.8426685100534196,300,0,6.562925867276555,17.044962348552517,0.5683333333333334,0.5649681714289607,0.506936068112932,0.5168677711074333
rf,raw,"{""max_depth"": 10, ""min_samples_leaf"": 60}",all,,F4,10,347571,1.7,0.37254290311964294,1.449507902356975,0.7389366663068173,300,0,4.713288629302015,10.293563632035617,0.5788888888888889,0.5328373310824981,0.40485274816321093,0.343545125163752
rf,raw,"{""max_depth"": 10, ""min_samples_leaf"": 20}",all,,F4,10,347571,1.7,0.3679832927589786,1.4715048106371038,0.7380120668657719,300,0,4.655601958889012,9.984030970002783,0.5825,0.5317131724777973,0.4041203606817711,0.3374007518753388
rf,raw,"{""max_depth"": 16, ""min_samples_leaf"": 60}",all,,F4,10,347571,1.8,0.37303060737842797,1.4484592486467263,0.7447510691633211,300,0,4.719458901016078,10.366281794918274,0.5780555555555555,0.5306411343396178,0.4048035469244737,0.34451710303537963
rf,raw,"{""max_depth"": 16, ""min_samples_leaf"": 20}",all,,F4,10,347571,2.0,0.3675237706200381,1.438654547465653,0.727047881435944,300,0,4.6497882379611815,10.001786239146622,0.5716666666666667,0.5282767851910274,0.4034512226044629,0.3373597827488553
rf,norm,"{""max_depth"": 10, ""min_samples_leaf"": 60}",all,0.07142857142857142,F4,10,347571,2.1,0.3795766674316452,1.4225215751556974,0.7689917891169875,300,0,4.802277470789365,10.234716066962859,0.5875,0.5377116027842712,0.40973376496265557,0.3514973094596897
rf,norm,"{""max_depth"": 10, ""min_samples_leaf"": 20}",all,0.07142857142857142,F4,10,347571,2.0,0.38206401239718263,1.4076906153460484,0.7482706819601469,300,0,4.833746530178355,10.204674537240267,0.6030555555555556,0.5405467071998004,0.41556581725450276,0.35291548829684977
rf,norm,"{""max_depth"": 16, ""min_samples_leaf"": 60}",all,0.07142857142857142,F4,10,347571,2.2,0.37534003024403,1.4270853313250205,0.7632334677243422,300,0,4.748676949304053,10.13049372806561,0.5775,0.538008487802208,0.40424712742590685,0.34710545847383906
rf,norm,"{""max_depth"": 16, ""min_samples_leaf"": 20}",all,0.07142857142857142,F4,10,347571,2.3,0.3769935932527824,1.4124543947658086,0.7443209088715856,300,0,4.769597277303119,9.960189676622955,0.5952777777777778,0.5353959987921628,0.4092736120435815,0.3482300633774703
xgb,raw,"{""max_depth"": 3, ""min_child_weight"": 30}",all,,F4,10,347571,4.7,0.3774401372793357,1.4679642725983404,0.7838508301678114,300,0,4.775246803479062,10.214952911104296,0.5641666666666667,0.5708520351726465,0.4057529568307737,0.34573081497849806
xgb,raw,"{""max_depth"": 3, ""min_child_weight"": 5}",all,,F4,10,347571,4.3,0.3786759797014361,1.456145072138698,0.7834047129556672,300,0,4.790882269856002,10.263860748697818,0.5630555555555555,0.5710658130127368,0.4059509619300572,0.34740716347549855
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 30}",all,,F4,10,347571,5.1,0.37187776388279437,1.5027262483938677,0.7449494371277504,300,0,4.704873509390486,10.230305198142586,0.5561111111111111,0.5403243444505005,0.4017059458549703,0.3426727626530806
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 5}",all,,F4,10,347571,4.3,0.3778894457550423,1.5035106185767333,0.7403891077385965,300,0,4.78093130454421,10.893857448717801,0.5611111111111111,0.5441493004144697,0.4052751478793654,0.3496951361540795
xgb,norm,"{""max_depth"": 3, ""min_child_weight"": 30}",all,0.07142857142857142,F4,10,347571,7.3,0.38874844605079195,1.453466795911991,0.7614708357861,300,0,4.918315756619269,10.32176460180503,0.5875,0.5533766428420802,0.41585554505165756,0.3608338571453746
